ctry,station_name,stid
AF,BALA-MOORGHAB,409230nan
AF,KALDAR,409240nan
AF,QAISAR,409250nan
AF,DARI-SUF,409275nan
AF,YANGI QALA,409280nan
AF,NORTH-SALANG,409300nan
AF,SOUTH-SALANG,409310nan
AF,JABUL-SARAJ,409320nan
AF,PANJSHIR,409323nan
AF,HAJIGAK,409330nan
AF,FOB BOSTIC,409343nan
AF,ISLAM-QALA,409350nan
AF,QALA-I-NOW,409370nan
AF,HERAT,409380nan
AF,FOB VICTORY/STONE,409389nan
AF,QADES,409390nan
AF,OBE,409400nan
AF,GHELMEEN,409410nan
AF,CHAKHCHARAN,409420nan
AF,SHAHRAK,409430nan
AF,LAL,409440nan
AF,BAMIYAN,409450nan
AF,PAN JAO,409460nan
AF,FOB EDINBURGH,409465nan
AF,PAGHMAN,409470nan
AF,CAMP AIRBORNE HLZ,409473nan
AF,KABUL INTL,409480nan
AF,KARIZIMIR,409490nan
AF,LOGAR,409500nan
AF,SAROBI,409510nan
AF,FOB KUTSCHBACH,409511nan
AF,LAGHMAN,409520nan
AF,GHAZIABAD,409530nan
AF,FOB CONNOLLY,409534nan
AF,JALALABAD,409540nan
AF,SHINDAND,409570nan
AF,COP HONAKER-MIRACLE,409584nan
AF,CAMP BLESSING-NANGA,409585nan
AF,SARDAY AG,409600nan
AF,OKAK,409660nan
AF,BEHSOOD,409670nan
AF,GHAZNI,409680nan
AF,GARDIZ,409700nan
AF,CHEROKEE,409703nan
AF,COP WILDERNESS,409705nan
AF,FOB CHAMKANI,409706nan
AF,KHOST,409710nan
AF,FOB CLARK,409713nan
AF,BACKWA,409730nan
AF,BACKWA,409731nan
AF,DELARAM,409739nan
AF,FARAH,409740nan
AF,GULISTAN,409750nan
AF,KAJAKI,409760nan
AF,SAKARI KAREZ,409763nan
AF,FOB SABIT QADAM,409764nan
AF,TIRIN KOT,409770nan
AF,FOB TINSLEY,409775nan
AF,LASHKARGAH,409780nan
AF,KALAT,409790nan
AF,FOB WOLVERINE,409793nan
AF,FOB VIPER,409794nan
AF,MOKUR,409800nan
AF,COP ARYAN,409803nan
AF,VSSA WARRIOR,409804nan
AF,WAZAKHAW,409810nan
AF,FOB KUSAHMOND,409813nan
AF,SUPER FOB,409814nan
AF,URGOON,409840nan
AF,COP SPERA,409843nan
AF,FOB TILLMAN,409844nan
AF,SHARANA,409845nan
AF,FOB SKHIN,409849nan
AF,ZARANJ,409860nan
AF,BUST,409880nan
AF,KANDAHAR,409900nan
AF,FOB FRONTENAC,409903nan
AF,FOB SPIN BULDAK,409904nan
AF,FOB PASAB/WILSON,409905nan
AF,CHAR-BURJACK,409950nan
AF,DESHOO,409960nan
YM,MUKAYRIS,410001nan
SA,MUWAIH,410060nan
SA,ZULM,410080nan
SA,LAYLA,410100nan
SA,OBAYLAH (AUT),410140nan
SA,SHAWALAH,410160nan
SA,MAHAZAT AL-SAID-1,410180nan
SA,JEDDAH I.E.,410200nan
SA,KING ABDULAZIZ INTL,410240nan
SA,JEDDAH,410260nan
SA,MAKKAH,410300nan
SA,MINA,410310nan
SA,ARAFAT,410320nan
SA,AL-HADA,410350nan
SA,TAIF,410360nan
SA,AL BAHA,410550nan
SA,WADI AL-DAWASSER,410600nan
SA,WADI AL DAWASIR,410610nan
SA,SULAYEL,410620nan
SA,AL-QUNFUDAH,410800nan
SA,BISHA,410840nan
SA,ABHA,411120nan
SA,KING KHALED AB,411140nan
SA,NEJRAN,411280nan
SA,SHARURAH,411360nan
SA,SHARURAH (CIV/MIL)&,411363nan
SA,KING ABDULLAH BIN ABDULAZIZ,411400nan
SA,GIZAN,411410nan
BA,BAHRAIN INTL,411500nan
BA,JARIM,411510nan
BA,HAWAR ISLAND,411520nan
BA,JABAL AL DUKHAN,411540nan
BA,F1 (FORMULA 1),411550nan
BA,RAS AL BAR,411560nan
QA,AI RUWAIS,411600nan
QA,AL KHOR AIRPORT,411610nan
QA,AL SHEHAIMIYA,411620nan
QA,AL GUWAYRIYAH,411640nan
QA,DUKHAN,411670nan
QA,DOHA PORT,411680nan
QA,DOHA INTL,411700nan
QA,DOHA,411703nan
QA,AL UDEID AB,411705nan
QA,QATAR UNIVERSITY,411710nan
QA,AL WAKRAH,411730nan
QA,AL KARANA,411750nan
QA,UMM SAID,411760nan
QA,TURAYNA,411770nan
QA,ABU SAMRA,411780nan
AE,RAS AL KHAIMAH INTL,411840nan
AE,DUBAI INTL,411940nan
AE,AL MAKTOUM INTL AIRPORT,411945nan
AE,ZIRKU,411946nan
AE,SHARJAH INTL,411960nan
AE,FUJAIRAH INTL,411980nan
AE,BATEEN,412160nan
AE,AL HAMRA AUX,412161nan
AE,AL DHAFRA,412162nan
AE,DELMA,412163nan
AE,DUBAI MINHAD AB,412164nan
AE,SIR ABU NAIR,412165nan
AE,ABU DHABI INTL,412170nan
AE,AL AIN INTL,412180nan
AE,MEDINA ZAYED,412260nan
AE,BUHASA,412265nan
MU,KHASAB PORT,412400nan
MU,KHASAB AIRPORT,412410nan
MU,DIBA,412420nan
MU,BURAIMI (AUT),412440nan
MU,SOHAR MAJIS,412460nan
MU,QUMAIRA,412490nan
MU,SUNAYNAH,412500nan
MU,IBRI,412520nan
MU,RUSTAQ,412530nan
MU,SAIQ,412540nan
MU,NIZWA,412550nan
MU,SEEB INTL,412560nan
MU,SAMAIL,412570nan
MU,MINA SULTAN QABOOS,412580nan
MU,JABAL SHAMS,412590nan
MU,FAHUD (AUT),412620nan
MU,BAHLA,412630nan
MU,ADAM AIRPORT,412640nan
MU,IBRA,412650nan
MU,IBRA,412660nan
MU,QALHAT,412670nan
MU,SUR,412680nan
MU,RAS AL HADD,412700nan
MU,SUWAIQ,412720nan
MU,GHABA CENTRAL/PRI,412740nan
MU,QARN ALAM,412750nan
MU,UMZAMAIM,412760nan
MU,AL AMERAT,412800nan
MU,JOBA,412870nan
MU,MASIRAH,412880nan
MU,DUQM,412900nan
MU,DUQM AIRPORT,412910nan
MU,AL MUDHAIBI,412920nan
MU,BIDIYA,412930nan
MU,HAIMA,412940nan
MU,YAALONI,412950nan
MU,DUQM              &,412960nan
MU,HAIMA,413010nan
MU,MARMUL,413040nan
MU,MINA SALALAH,413120nan
MU,JABAL NOOS,413130nan
MU,THUMRAIT,413140nan
MU,QAIROON HAIRITI,413150nan
MU,SALALAH,413160nan
YM,SAADA            &,413240nan
YM,SA'ADA            &,413243nan
YM,BOGUS YEMEN,413253nan
YM,AL-HAZM,413260nan
YM,ABBS,413410nan
YM,SANA'A (CIV/MIL),413440nan
YM,MARIB,413500nan
YM,JUMEISHA,413580nan
YM,HODEIDAH (CIV/MIL),413600nan
YM,SAADA,413720nan
YM,AL-BAYDA,413780nan
YM,AL-BAYDA,413783nan
YM,MOKHA,413820nan
YM,TAIZ (CIV/MIL),413900nan
YM,RIYAN,413905nan
YM,HAJJAH,413910nan
YM,BOGUS YEMEN,413913nan
YM,BOGUS YEMEN,413940nan
YM,SEIYOUN,413960nan
YM,AL-GHAIDAH,413980nan
YM,AMRAN,413990nan
YM,SANAA INTL,414040nan
YM,SAADA/SADAH,414050nan
YM,MARIB,414070nan
YM,KAMARAN,414160nan
YM,AL-GHAIDAH,414280nan
YM,KAMARAN ISLAND,414300nan
YM,HODEIDAH,414310nan
YM,DHAMAR,414340nan
YM,SEIYOUN           &,414360nan
YM,SAYUN,414363nan
YM,AI-GHAIDAH,414365nan
YM,ATAQ,414370nan
YM,AL SADDAH,414380nan
YM,RIYAN,414430nan
YM,ATAQ              &,414440nan
YM,RIYAN,414480nan
YM,IBB,414520nan
YM,GANED,414660nan
YM,ADEN KHORMAKSAR,414670nan
YM,MOKHA,414770nan
YM,ADEN,414800nan
YM,SAHAREEG,414820nan
YM,SOCOTRA,414940nan
YM,SOCOTRA ISLAND,414990nan
PK,GUPIS,415040nan
PK,HUNZA,415050nan
PK,CHITRAL,415060nan
PK,MET OBSERVATORY TIMERGARA / DIR LOWER,415070nan
PK,DIR,415080nan
PK,MIR KHANI,415090nan
PK,KALAM,415100nan
PK,DROSH,415150nan
PK,GILGIT,415160nan
PK,SKARDU,415170nan
PK,BUNJI,415180nan
PK,CHILLAS,415190nan
PK,TURBAT INTL,415195nan
PK,ASTORE,415200nan
PK,CHITRAL,415205nan
PK,DERA GHAZI KHAN,415215nan
PK,MUZAFFARABAD,415225nan
PK,SAIDU SHARIF,415230nan
PK,SAIDU SHARIF,415235nan
PK,PATTAN,415240nan
PK,MALAM JABBA,415250nan
PK,BABUSAR,415260nan
PK,LANDIKOTAL,415280nan
PK,LANDIKOTAL,415281nan
PK,PESHAWAR,415300nan
PK,BATTAL,415310nan
PK,MUZAFFAR ABAD,415320nan
PK,RISALPUR,415330nan
PK,KAKUL,415350nan
PK,BALAKOT,415360nan
PK,PARACHINAR,415600nan
PK,BANNU*,415620nan
PK,KOHAT,415640nan
PK,CHERAT,415650nan
PK,CAMPBELLPUR,415690nan
PK,CHAKLALA,415710nan
PK,HARIPUR,415720nan
PK,MURREE,415730nan
PK,RAWALAKOT*,415740nan
PK,MANGLA*,415760nan
PK,ISLAMABAD CITY,415770nan
PK,MIRANSHAH AIRPORT,415840nan
PK,KHUSHAB,415900nan
PK,MIANWALI,415920nan
PK,SUKKUR,415925nan
PK,SARGODHA,415930nan
PK,SARGODHA,415940nan
PK,MANDI BAHAUDDIN,415970nan
PK,JHELUM,415980nan
PK,SIALKOT,415990nan
PK,SIALKOT,416000nan
PK,ZHOB,416200nan
PK,D I KHAN,416240nan
PK,FAISALABAD,416300nan
PK,JHANG,416360nan
PK,TOBA TEK SINGH,416380nan
PK,LAHORE CITY,416400nan
PK,ALLAMA IQBAL INTL,416410nan
PK,OKARA,416460nan
PK,DERA GHAZI KHAN,416520nan
PK,QUETTA,416600nan
PK,QUETTA (SHEIKH MANDA),416610nan
PK,QILA SAIFULLAH,416620nan
PK,LAYYAH,416711nan
PK,RAFIQUI,416720nan
PK,MULTAN INTL,416750nan
PK,BAHAWALNAGAR,416780nan
PK,BAR KHAN,416850nan
PK,KALAT,416960nan
PK,SIBI,416970nan
PK,BAHAWALPUR,417000nan
PK,BAHAWALPUR,417010nan
PK,NOKKUNDI,417100nan
PK,DAL BANDIN,417120nan
PK,SHAHBAZ AB,417150nan
PK,SHEIKH ZAYED,417160nan
PK,KHANPUR,417180nan
PK,ROHRI,417250nan
PK,TURBAT,417380nan
PK,PANJGUR,417390nan
PK,LASBELLA,417420nan
PK,DADU,417430nan
PK,KHUZDAR,417440nan
PK,SAKRAND AGROMET OBSERVATORY,417450nan
PK,PADIDAN,417460nan
PK,MOENJODARO,417470nan
PK,LARKANA,417480nan
PK,NAWABSHAH,417490nan
PK,JIWANI,417560nan
PK,GWADAR,417570nan
PK,PASNI,417590nan
PK,ORMARA,417600nan
PK,HYDERABAD AIRPORT,417640nan
PK,HYDERABAD,417650nan
PK,CHHOR,417680nan
PK,UNMARKOT,417690nan
PK,JINNAH INTL,417800nan
PK,MASROOR,417810nan
PK,KARACHI MANORA,417820nan
PK,BADIN,417850nan
PK,M O MITHI,417861nan
BG,TETULIA  PANCHAGOR,418500nan
BG,THAKURGAON,418520nan
BG,ISHURDI,418550nan
BG,RAJSHAHI,418560nan
BG,SAIDPUR,418580nan
BG,RANGPUR,418590nan
BG,SIRAJGANJ,418600nan
BG,LALMONIRHAT,418620nan
BG,RAJARHAT KURIGRAM,418621nan
BG,DINAJPUR,418630nan
BG,BOGRA,418830nan
BG,JAMALPUR,418840nan
BG,MYMENSINGH,418860nan
BG,SYLHET A.P.,418900nan
BG,OSMANY INTL,418910nan
BG,SHAH MOKHDUM,418950nan
BG,SERAJGONJ,418980nan
BG,SYLHET,419000nan
BG,ISHURDI,419070nan
BG,TANGAIL,419090nan
BG,SRIMANGAL,419150nan
BG,FARIDPUR,419160nan
BG,DACCA/TEZGAON,419170nan
BG,JOYDEVPUR,419210nan
BG,HAZRAT SHAHJALAL INTL,419220nan
BG,TEJGAON,419230nan
BG,CHUADANGA,419260nan
BG,MADARIPUR,419280nan
BG,FARIDPUR,419290nan
BG,KHULNA,419310nan
BG,BARISAL,419320nan
BG,COMILLA,419330nan
BG,FENI,419350nan
BG,JESSORE,419360nan
BG,BHOLA,419370nan
BG,BORHANUDDIN,419380nan
BG,MADARIPUR,419390nan
BG,CHITTAGONG,419400nan
BG,CHANDPUR,419410nan
BG,FENI,419430nan
BG,CHILLIMPUR,419440nan
BG,SANDVIP,419450nan
BG,SATKHIRA,419460nan
BG,KHULNA,419470nan
BG,BARISAL,419500nan
BG,BHOLA,419510nan
BG,MAIJDICOURT,419530nan
BG,MONGLA,419580nan
BG,PATUAKHALI,419600nan
BG,KHEPUPARA,419610nan
BG,HATIA,419630nan
BG,SANDWIP,419640nan
BG,SITAKUNDU,419650nan
BG,RANGAMATI,419660nan
BG,CHITTAGONG (AMBAGAN),419770nan
BG,SHAH AMANAT INTL,419780nan
BG,TEKNAF,419800nan
BG,KHEPUPARA,419840nan
BG,KUTUBDIA,419890nan
BG,COXS BAZAR,419920nan
BG,TEKNAF,419980nan
IN,BOGUS INDIAN,420100nan
IN,GULMARG,420260nan
IN,SRINAGAR,420270nan
IN,SONAMARG,420290nan
IN,DRAS,420300nan
IN,LEH               &,420340nan
IN,SRINAGAR,420420nan
IN,QAZI GUND,420440nan
IN,BANIHAL,420450nan
IN,JAMMU (IN-AFB),420550nan
IN,JAMMU,420560nan
IN,PATHANKOT (IN-AFB)&,420570nan
IN,DALHOUSIE,420590nan
IN,KATHUA,420600nan
IN,DHARMSALA,420620nan
IN,KYELONG,420630nan
IN,MANALI,420650nan
IN,AMRITSAR,420710nan
IN,KAPURTHALA,420740nan
IN,JULLUNDUR,420750nan
IN,UNA,420770nan
IN,MANDI,420780nan
IN,SUNDERNAGAR,420790nan
IN,BILASPUR,420800nan
IN,BHAVNAGAR,420801nan
IN,BHUNTAR,420810nan
IN,SHIMLA,420830nan
IN,FEROZEPUR,420960nan
IN,BHATINDA,420970nan
IN,HALWARA,420980nan
IN,LUDHIANA,420990nan
IN,PATIALA,421010nan
IN,AMBALA,421030nan
IN,NAHAN,421040nan
IN,CHANDIGARH(IAFB),421050nan
IN,DHARMPUR,421070nan
IN,UTTARKASHI,421080nan
IN,PAURI,421100nan
IN,DEHRADUN,421110nan
IN,MUSSOORIE,421120nan
IN,TEHRI,421140nan
IN,JOSHIMATH,421160nan
IN,CHAMOLI,421170nan
IN,MUNSYARI,421210nan
IN,ANUPGARH,421220nan
IN,GANGANAGAR,421230nan
IN,HISSAR,421310nan
IN,SANGRUR,421350nan
IN,KARNAL,421370nan
IN,MEERUT,421390nan
IN,ROORKEE,421400nan
IN,NAJIBABAD,421430nan
IN,NAINITAL,421460nan
IN,MUKTESHWAR KUMAON,421470nan
IN,PANTNAGAR,421480nan
IN,DHARCHULA,421510nan
IN,BIKANER,421650nan
IN,CHURU,421700nan
IN,PILANI,421740nan
IN,ROHTAK,421760nan
IN,NARNAUL,421770nan
IN,GURGAON,421780nan
IN,INDIRA GANDHI INTL,421810nan
IN,SAFDARJUNG,421820nan
IN,BULANDSHAHR,421830nan
IN,MORADABAD,421870nan
IN,RAMPUR,421880nan
IN,BAREILLY,421890nan
IN,PILIBHIT,421900nan
IN,HALDIA,422060nan
IN,PASIGHAT,422200nan
IN,PHALODI,422370nan
IN,NAGAUR,422420nan
IN,SIKAR,422490nan
IN,ALWAR,422550nan
IN,MATHURA,422570nan
IN,BHARATPUR,422580nan
IN,AGRA,422600nan
IN,AGRA,422610nan
IN,ALIGARH,422620nan
IN,MAINPURI,422650nan
IN,SHAHJAHANPUR,422660nan
IN,KHERI,422700nan
IN,HARDOI,422710nan
IN,BAHRAICH,422730nan
IN,GONDA,422740nan
IN,BASTI,422790nan
IN,NAUTANWA,422820nan
IN,DARJEELING,422950nan
IN,KALIMPONG,422960nan
IN,GANGTOK,422990nan
IN,BOMDILA,423050nan
IN,LILABARI,423090nan
IN,SIBSAGAR,423110nan
IN,ZIRO,423120nan
IN,DIBRUGARH,423140nan
IN,DIGBOI,423160nan
IN,JAISALMER,423280nan
IN,JODHPUR,423390nan
IN,AJMER,423430nan
IN,JAIPUR,423480nan
IN,TONK,423490nan
IN,DHOLPUR,423540nan
IN,BHIND,423580nan
IN,GWALIOR,423610nan
IN,ETAWAH,423640nan
IN,KANPUR,423660nan
IN,KANPUR CHAKERI,423670nan
IN,LUCKNOW,423680nan
IN,LUCKNOW,423690nan
IN,FURSATGANJ AIRPORT,423720nan
IN,FAIZABAD,423740nan
IN,SULTANPUR,423750nan
IN,GORAKHPUR,423790nan
IN,AZAMGARH,423810nan
IN,RAXAUL,423820nan
IN,MOTIHARI,423830nan
IN,MUZAFFARPUR,423870nan
IN,MUZAFFARPUR AERODROME,423900nan
IN,DARBHANGA,423910nan
IN,SUPAUL,423930nan
IN,FORBESGANJ,423950nan
IN,SILIGURI,423970nan
IN,BAGDOGRA,423980nan
IN,JALPAIGURI,423990nan
IN,COOCH BEHAR,424030nan
IN,DHUBRI,424040nan
IN,DHUBRI/RUPSI,424060nan
IN,GOALPARA,424070nan
IN,RANGIA,424080nan
IN,TANGLA,424090nan
IN,GUWAHATI INTL,424100nan
IN,MAJBAT,424130nan
IN,CHAPARMUKH,424140nan
IN,TEZPUR,424150nan
IN,TEZPUR/BINDUKURI,424160nan
IN,GOHPUR,424190nan
IN,GOLAGHAT,424200nan
IN,JORHAT,424230nan
IN,JORHAT,424231nan
IN,BARMER,424350nan
IN,JALORE,424390nan
IN,ERINPURA /JAWAI DAM SITE,424410nan
IN,BHILWARA,424470nan
IN,BUNDI,424500nan
IN,KOTA-IN-RAJASTHAN,424510nan
IN,KOTA,424520nan
IN,SAWAI MADHOPUR,424530nan
IN,SHEOPUR,424560nan
IN,SHIVPURI,424590nan
IN,DATIA,424600nan
IN,JHANSI,424630nan
IN,NOWGONG,424670nan
IN,ORAI,424680nan
IN,HAMIRPUR,424690nan
IN,FATEHPUR,424710nan
IN,PRATAPGARH,424720nan
IN,BANDA,424730nan
IN,ALLAHABAD ARPT,424750nan
IN,JAUNPUR,424770nan
IN,LAL BAHADUR SHASTRI,424790nan
IN,GHAZIPUR,424820nan
IN,VARANASI,424830nan
IN,BALLIA,424840nan
IN,ARRAH,424870nan
IN,CHAPRA,424880nan
IN,PATNA,424920nan
IN,BHAGALPUR,424980nan
IN,SABAUR,424990nan
IN,PURNEA,425000nan
IN,MALDA,425030nan
IN,BALURGHAT,425060nan
IN,TURA,425110nan
IN,SHILLONG ARPT/UMROI ARPT,425120nan
IN,CHERRAPUNJI,425150nan
IN,SHILLONG,425160nan
IN,HAFLONG,425220nan
IN,LUMDING,425230nan
IN,KOHIMA,425270nan
IN,DEESA,425390nan
IN,MOUNT ABU,425400nan
IN,UDAIPUR,425420nan
IN,UDAIPUR,425430nan
IN,CHITTORGARH,425460nan
IN,NIMACH,425470nan
IN,CHAMBAL/RAWAT BHATA,425520nan
IN,JHALAWAR,425550nan
IN,RAJGARH,425570nan
IN,GUNA,425590nan
IN,TIKAMGARH,425620nan
IN,KHAJURAHO,425670nan
IN,PANNA,425700nan
IN,SATNA,425710nan
IN,REWA,425740nan
IN,SIDHI,425770nan
IN,DALTONGANJ,425870nan
IN,DEHRI,425880nan
IN,GAYA,425910nan
IN,JAMUI,425950nan
IN,DUMKA,425990nan
IN,BERHAMPORE,426030nan
IN,KAILASHAHAR,426180nan
IN,SILCHAR,426190nan
IN,SILCHAR/KUMBHIRGRAM,426200nan
IN,IMPHAL,426230nan
IN,NALIYA,426310nan
IN,BHUJ,426340nan
IN,KANDLA AERODROME,426380nan
IN,NEW KANDLA,426390nan
IN,MT HOREB,426409nan
IN,AHMEDABAD,426470nan
IN,IDAR,426510nan
IN,DUNGARPUR,426520nan
IN,GANDHINAGAR,426540nan
IN,BANSWARA,426550nan
IN,RATLAM,426610nan
IN,UJJAIN,426620nan
IN,SHAJAPUR,426650nan
IN,BHOPAL,426670nan
IN,VIDISHA,426690nan
IN,SAGAR,426710nan
IN,RAISEN,426720nan
IN,DAMOH,426740nan
IN,JABALPUR,426750nan
IN,UMARIA,426790nan
IN,AMBIKAPUR,426930nan
IN,HAZARIBAGH,426990nan
IN,RANCHI,427000nan
IN,BIRSA MUNDA,427010nan
IN,DHANBAD,427030nan
IN,PANAGARH,427040nan
IN,PURULIA,427050nan
IN,KULLU MANALI,427051nan
IN,CHANDIGARH,427052nan
IN,LEH,427053nan
IN,CALICUT,427055nan
IN,BANGALURU INTL AIRPORT,427056nan
IN,BANKURA,427060nan
IN,SHANTI NIKETAN,427080nan
IN,BURDWAN,427090nan
IN,KRISHNANAGAR,427110nan
IN,BAGATI,427140nan
IN,MALANJKHAND,427150nan
IN,AGARTALA,427240nan
IN,LENGPUI,427260nan
IN,AIJAL,427270nan
IN,MANDVI,427290nan
IN,OKHA,427300nan
IN,DWARKA,427310nan
IN,JAMNAGAR,427340nan
IN,RAJKOT,427370nan
IN,RAIPUR,427371nan
IN,SURENDRANAGAR,427400nan
IN,VALLABH VIDYANAGAR,427440nan
IN,BARODA,427470nan
IN,BARODA AERODROME,427480nan
IN,DOHAD,427510nan
IN,DHAR,427520nan
IN,DEVI AHILYABAI HOLKAR,427540nan
IN,HOSHANGABAD,427630nan
IN,PACHMARHI,427670nan
IN,CHHINDWARA,427680nan
IN,NARSINGHPUR,427700nan
IN,SEONI,427710nan
IN,MANDLA,427760nan
IN,PENDRA ROAD,427790nan
IN,BILASPUR,427820nan
IN,CHAMPA,427830nan
IN,JASHPURNAGAR,427900nan
IN,SUNDARGARH,427920nan
IN,ROURKELA,427930nan
IN,CHAIBASA,427950nan
IN,JAMSHEDPUR,427980nan
IN,JAMSHEDPUR,427990nan
IN,KALAIKUNDA,428020nan
IN,MIDNAPORE,428030nan
IN,ULUBERIA,428050nan
IN,KOLKATA/ALIPORE,428070nan
IN,CALCUTTA/BARRACKS,428081nan
IN,NETAJI SUBHASH CHANDRA BOSE INTL,428090nan
IN,BASIRHAT,428100nan
IN,DIAMOND HARBOUR,428110nan
IN,CANNING,428120nan
IN,PORBANDAR,428300nan
IN,KESHOD,428320nan
IN,AMRELI,428340nan
IN,MAHUVA,428370nan
IN,BHAUNAGAR,428380nan
IN,SURAT,428400nan
IN,BROACH,428410nan
IN,NANDURBAR,428460nan
IN,KHARGONE,428490nan
IN,JALGAON,428510nan
IN,KHANDWA,428550nan
IN,BETUL,428600nan
IN,NAGPUR (MAYO HOSPITAL),428660nan
IN,DR AMBEDKAR INTL,428670nan
IN,GONDIA ARPT/BIRSI,428710nan
IN,MANA,428720nan
IN,PBO RAIPUR,428740nan
IN,SWAMI VIVEKANANDA,428750nan
IN,DURG,428760nan
IN,SAMBALPUR,428830nan
IN,RAIGARH,428840nan
IN,JHARSUGUDA,428860nan
IN,KEONGJHARGARH,428910nan
IN,BARIPADA,428940nan
IN,BALASORE,428950nan
IN,CONTAI,429000nan
IN,DIGHA,429010nan
IN,SAGAR ISLAND,429030nan
IN,VERAVAL,429090nan
IN,DIU APRT,429140nan
IN,BULSAR,429150nan
IN,DAMAN,429160nan
IN,OZAR AIR FORCE STATION /NASHIK ARPT,429200nan
IN,NASIK CITY,429210nan
IN,MALEGAON,429250nan
IN,BULDANA,429310nan
IN,AKOLA,429330nan
IN,AKOLA,429340nan
IN,WASHIM,429350nan
IN,AMRAOTI,429370nan
IN,WARDHA,429390nan
IN,YEOTMAL,429430nan
IN,BRAMHAPURI,429460nan
IN,RAJNANDGAON,429480nan
IN,KANKER,429530nan
IN,TITLAGARH,429610nan
IN,BOLANGIR,429630nan
IN,PHULBANI,429660nan
IN,ANGUL,429690nan
IN,CUTTACK,429700nan
IN,BHUBANESHWAR,429710nan
IN,CHANDBALI,429730nan
IN,PARADIP (C.W.R.),429760nan
IN,SANDHEADS,429770nan
IN,BOGUS INDIAN,429980nan
IN,DAHANU,430010nan
IN,BOMBAY / JUHU,430020nan
IN,CHHATRAPATI SHIVAJI INTL,430030nan
IN,T B I A,430050nan
IN,AHMADNAGAR,430090nan
IN,BIR,430110nan
IN,JALNA,430120nan
IN,AURANGABAD,430130nan
IN,AURANGABAD,430140nan
IN,PARBHANI,430170nan
IN,PUSAD,430190nan
IN,NANDED,430210nan
IN,PRIYADARSHINI,430220nan
IN,ADILABAD,430250nan
IN,CHANDRAPUR,430290nan
IN,JAGDALPUR,430410nan
IN,BHAWANIPATNA,430420nan
IN,GOPALPUR,430490nan
IN,PURI,430530nan
IN,BOMBAY / COLABA,430570nan
IN,ALIBAG,430580nan
IN,MATHERAN,430600nan
IN,KHANDALA,430610nan
IN,BHIRA,430620nan
IN,PUNE,430630nan
IN,PUNE / LOHOGAON AERODROME,430640nan
IN,PASHAN CTI,430670nan
IN,BARAMATI,430690nan
IN,JEUR,430710nan
IN,UDGIR,430760nan
IN,NIZAMABAD,430810nan
IN,MEDAK,430830nan
IN,RAMGUNDAM,430860nan
IN,HANAMKONDA,430870nan
IN,SIRONCHA,430890nan
IN,BAILADILA,430930nan
IN,KORAPUT,430970nan
IN,KALINGAPATAM,431050nan
IN,HARNAI,431090nan
IN,RATNAGIRI,431100nan
IN,MAHABALESHWAR,431110nan
IN,SATARA,431130nan
IN,SHOLAPUR,431170nan
IN,GULBARGA,431210nan
IN,BIDAR,431250nan
IN,BEGUMPET AIRPORT,431280nan
IN,HYDERABAD INTL AIRPORT,431285nan
IN,HAKIMPET,431300nan
IN,NALGONDA,431330nan
IN,BHADRACHALAM,431360nan
IN,KHAMMAM,431370nan
IN,TUNI,431470nan
IN,VISHAKHAPATNAM CTLZ,431490nan
IN,CWC VISHAKHAPATNAM/WALTAIR,431500nan
IN,DEVGARH,431530nan
IN,KOLHAPUR,431570nan
IN,SANGLI,431580nan
IN,BAGALKOTE,431600nan
IN,BIJAPUR,431610nan
IN,MAHABUBNAGAR,431680nan
IN,RAICHUR,431690nan
IN,RENTACHINTALA,431770nan
IN,VIJAYAWADA,431800nan
IN,VIJAYAWADA,431810nan
IN,NANDIGAMA,431820nan
IN,NIDADAVOLE,431840nan
IN,MACHILIPATNAM/FRANCHPET,431850nan
IN,NARSAPUR,431870nan
IN,KAKINADA,431890nan
IN,GOA/PANJIM,431920nan
IN,VENGURLA,431930nan
IN,GOA INTL,431940nan
IN,MORMUGAO,431960nan
IN,BELGAUM,431970nan
IN,BELGAUM AIRPORT,431971nan
IN,BELGAUM,431980nan
IN,DHARWAD,432000nan
IN,GADAG,432010nan
IN,HUBLI,432011nan
IN,BELLARY,432050nan
IN,PARANGIPETTAI,432070nan
IN,NANDYAL,432120nan
IN,KURNOOL,432130nan
IN,BAPATLA,432200nan
IN,ONGOLE,432210nan
IN,KARWAR,432250nan
IN,HONAVAR,432260nan
IN,HAVERI,432270nan
IN,KOPPAL,432280nan
IN,SHIRALI,432290nan
IN,DAVANGERE,432300nan
IN,CHITRADURGA,432330nan
IN,PBO ANANTAPUR,432370nan
IN,CUDDAPAH,432410nan
IN,KAVALI,432430nan
IN,NELLORE,432450nan
IN,AGUMBE EMO,432570nan
IN,SHIMOGA,432580nan
IN,BALEHONUR,432590nan
IN,CHICKMAGALUR,432600nan
IN,HASSAN,432630nan
IN,CHIKKANAHALLI,432640nan
IN,M.O. AGATHI AIRPORT,432660nan
IN,AROGYAVARAM,432710nan
IN,CHINTAMANI,432720nan
IN,TIRUPATHI,432750nan
IN,TIRUTTANI,432770nan
IN,NUMGAMBAKKAM,432780nan
IN,CHENNAI INTL,432790nan
IN,MANGALORE,432830nan
IN,MANGALORE,432840nan
IN,MANGALORE/PANAMBUR,432850nan
IN,MADIKERI,432870nan
IN,MANDYA,432890nan
IN,MYSORE,432910nan
IN,BANGALORE,432950nan
IN,BANGALORE/HINDUSTAN AIRPORT,432960nan
